"EventID,Title,Description,Commodity,Region,Creation Date,Completion Date"
"E1001,""Solar Panel Installation"",""Renewable energy project"",""Energy"",""Chennai"",""2024-12-01 08:30:00"",""2024-12-15 17:00:00"""
"E1002,""Office Supplies Bulk Purchase"",""Year-end stationery restock"",""Office Supplies"",""Mysuru"",""2024-12-05 09:15:00"",""2024-12-20 15:00:00"""
"E1003,""Steel Procurement"",""Steel rods for building project"",""Metals"",""Indore"",""2024-12-10 14:00:00"",""2025-01-05 11:30:00"""
"E1004,""IT Hardware Refresh"",""Upgrading laptops and servers"",""Electronics"",""Bangalore"",""2024-12-15 10:00:00"",""2024-12-30 16:45:00"""
"E1005,""Chemical Supplies Purchase"",""Chemicals for R&D"",""Chemicals"",""Lucknow"",""2024-12-20 13:20:00"",""2025-01-10 09:15:00"""
"E1006,""Furniture Acquisition"",""Office desks and chairs"",""Furniture"",""Coimbatore"",""2024-12-22 08:45:00"",""2025-01-15 14:00:00"""
"E1007,""Marketing Materials Print"",""Brochures and flyers"",""Printing"",""Chennai"",""2024-12-25 09:00:00"",""2025-01-05 10:00:00"""
"E1008,""Packaging Materials Procurement"",""Cardboard boxes and packaging"",""Packaging"",""Mysuru"",""2024-12-28 14:30:00"",""2025-01-20 18:00:00"""
"E1009,""Healthcare Supplies"",""Medical gloves and masks"",""Healthcare"",""Indore"",""2025-01-02 08:00:00"",""2025-01-15 13:30:00"""
"E1010,""Construction Timber"",""High-quality timber for building"",""Wood"",""Bangalore"",""2025-01-05 11:45:00"",""2025-01-31 17:59:00"""
